URL,_id/$oid,address,address line 2,name,outcode,postcode,rating,type_of_food
http://www.just-eat.co.uk/restaurants-bigjoes-mk40/menu,55f14313c7447c3da7052480,3 Boswell Place,Bedford,Big Joe's,MK40,2PX,5.5,Pizza
http://www.just-eat.co.uk/restaurants-big-joes-milton-keynes/menu,55f14313c7447c3da7052481,61 Alsten Drive,Milton Keynes,Big Joe's,MK13,9HB,5.5,Pizza
http://www.just-eat.co.uk/restaurants-bigmamas-gu21/menu,55f14313c7447c3da7052482,91 Walton Road,Surrey,Big Mamas,GU21,5DW,3.5,American
http://www.just-eat.co.uk/restaurants-big-mamas-l13/menu,55f14313c7447c3da7052483,46 Oakhill Road,Liverpool,Big Mamas,L13,5UF,5,Pizza
http://www.just-eat.co.uk/restaurants-big-mamas-silverwood/menu,55f14313c7447c3da7052484,20 Edward Street,Lurgan,Big Mama's,BT66,6DB,2.5,Curry
http://www.just-eat.co.uk/restaurants-bigmamas-ne8/menu,55f14313c7447c3da7052485,228 Durham Road,Gateshead,Big Mama's,NE8,4JR,4,Pizza
http://www.just-eat.co.uk/restaurants-bigmamas-ne8/menu,55f14313c7447c3da7052486,228 Durham Road,Gateshead,Big Mama's,NE8,4JR,4,Pizza
http://www.just-eat.co.uk/restaurants-bigmamas-s72/menu,55f14313c7447c3da7052487,256 Barnsley Road,Barnsley,Big Mama's,S72,8SS,5,Pizza
http://www.just-eat.co.uk/restaurants-bigmamasburrito-sw8/menu,55f14313c7447c3da7052488,Unit 20C 15-17 Ingate Place,London,Big Mama's Burrito,SW8,3NS,5,Mexican
http://www.just-eat.co.uk/restaurants-bigmamasburrito-sw8/menu,55f14313c7447c3da7052489,Unit 20C 15-17 Ingate Place,London,Big Mama's Burrito,SW8,3NS,5,Mexican
http://www.just-eat.co.uk/restaurants-big-mamma-m28/menu,55f14313c7447c3da705248a,127 Mosley Common Road,Worsley,Big Mamma,M28,1AH,5,Pizza
